guid,titulo,bytes
69e7fb64-b240-49cb-af2d-99c69f356364,"Reporte Informativo ASFI al 06/03/2026",171892
1febcca6-df85-42fd-9aa9-0a6f17574955,"Reporte Informativo ASFI al 05/03/2026",140677
930d1b62-de30-49f9-add6-561d4391690a,"Reporte Informativo ASFI al 04/03/2026",137123
fcce47ce-9944-4165-a5a1-57d533ee6b96,"Reporte Informativo ASFI al 03/03/2026",166179
2ad2f323-340b-4a12-8a5e-15952a4bbd41,"Reporte Informativo ASFI al 02/03/2026",223303
0954b1d1-4a2b-44ef-ac7a-6724991dae57,"Reporte Informativo ASFI al 27/02/2026",170684
b4c03fd8-1f86-4f73-9c88-6b8b4b67f6f3,"Reporte Informativo ASFI al 26/02/2026",176258
a17597ef-4fc7-4c8a-a5d0-b83842f753b7,"Reporte Informativo ASFI al 25/02/2026",216418
65c352d5-c469-433f-aaab-f3ae5f847a7f,"Reporte Informativo ASFI al 24/02/2026",144422
fd166443-7137-4ecd-9534-721fb9f6574e,"Reporte Informativo ASFI al 23/02/2026",182712
34116237-5ee7-43b9-8e31-2e2fc3f33a49,"Reporte Informativo ASFI al 20/02/2026",190972
fc1058f6-bd6f-4b90-851c-c02776eda3b0,"Reporte Informativo ASFI al 19/02/2026",197348
94d39353-8e1e-4091-a6ae-0fb403d05e9e,"Reporte Informativo ASFI al 18/02/2026",167440
2501d6f0-600d-42a9-8954-b4c337c8b32c,"Reporte Informativo ASFI al 13/02/2026",150385
b0264e83-46a6-4d95-ab70-c74cc9c22639,"Reporte Informativo ASFI al 12/02/2026",167021
e6ee0615-9ff6-479c-9105-0edacfb6e119,"Reporte Informativo ASFI al 11/02/2026",160862
91a046e2-4e0a-457a-852c-524c588bdd83,"Reporte Informativo ASFI al 10/02/2026",129110
e858c500-1ba6-4e20-8c29-0eab298eaf8f,"Reporte Informativo ASFI al 09/02/2026",152596
d8620d77-8814-47e8-ac18-65424f0b7465,"Reporte Informativo ASFI al 06/02/2026",120845
d053a048-1d49-4434-921f-3b8fd4b1b767,"Reporte Informativo ASFI al 05/02/2026",116596
cc9d2247-8316-443b-8f8f-296c6ef9e358,"Reporte Informativo ASFI al 04/02/2026",145414
9c597052-60ad-44b8-a3d8-654459ca24d6,"Reporte Informativo ASFI al 03/02/2026",129519
8a109ce9-30be-4aec-846f-08274ebd7554,"Reporte Informativo ASFI al 02/02/2026",140926
531b087c-b7e3-430e-a45c-611b8139bb76,"Reporte Informativo ASFI al 30/01/2026",203727
1bebd03c-538c-414e-a1aa-5fd3bf3fd70c,"Reporte Informativo ASFI al 29/01/2026",202656
6055ec8e-b54a-483f-aa86-c557e76f24d5,"Reporte Informativo ASFI al 28/01/2026",167931
dd14522e-1cdb-4340-9ebf-e9ad3e412138,"Reporte Informativo ASFI al 27/01/2026",162423
